rank,property_id,address,latitude,longitude,price,currency,bathrooms,bedrooms,area,land_area,zestimate,rent_zestimate,days_on_zillow,sold_date,is_zillow_owned,image,listing_type,broker_name,input,property_url,listing_url
784,2067957778,"31119 Wyndfield Ct, Tomball, TX 77375",30.125583,-95.608875,372785,USD,2,4,2253.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/19b8c1adba31d5ca909ef6ef7749311d-p_e.jpg,New construction,"Turner Mangum,LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/31119-Wyndfield-Ct-Tomball-TX-77375/2067957778_zpid/,https://www.zillow.com/homes/TX_rb/20_p/
48,123782868,"700 S 2nd St, Maquoketa, IA 52060",42.059788,-90.66711,45000,USD,1,1,1056.0 sqft,,41100,827,0,,FALSE,https://photos.zillowstatic.com/fp/da7fcd5464e0b8fae29147f31a0513d4-p_e.jpg,House for sale,"eXp Realty, LLC",https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/700-S-2nd-St-Maquoketa-IA-52060/123782868_zpid/,https://www.zillow.com/homes/IA_rb/2_p/
12,122492394,"8814 Preserve Trl, San Antonio, TX 78254",29.523676,-98.727346,292500,USD,3,4,2499.0 sqft,,324100,2199,0,,FALSE,https://photos.zillowstatic.com/fp/1fe8849b15fca43c479c127ed2681e1d-p_e.jpg,House for sale,The Ortiz Firm,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/8814-Preserve-Trl-San-Antonio-TX-78254/122492394_zpid/,https://www.zillow.com/homes/TX_rb/
325,30113787,"13 Bushwick Rd, Poughkeepsie, NY 12603",41.666772,-73.835651,535000,USD,2,3,2500.0 sqft,,332400,2600,0,,FALSE,https://photos.zillowstatic.com/fp/b376ecbcd9965a8f5e78d96cd28ae32a-p_e.jpg,House for sale,Listing by: C21 Alliance Realty Group Wf,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/13-Bushwick-Rd-Poughkeepsie-NY-12603/30113787_zpid/,https://www.zillow.com/homes/NY_rb/9_p/
365,768592,"3606 SW 38th St, Des Moines, IA 50321",41.550797,-93.670318,392500,USD,4,4,2335.0 sqft,,386100,2282,1,,FALSE,https://photos.zillowstatic.com/fp/c970117636033636d6e60ec7c8b95df9-p_e.jpg,House for sale,RE/MAX Concepts,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/3606-SW-38th-St-Des-Moines-IA-50321/768592_zpid/,https://www.zillow.com/homes/IA_rb/10_p/
491,2138683481,"13 Ulster Pl, Port Jervis, NY 12771",41.378137,-74.687371,229000,USD,2,6,1892.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/41b746fb6ab01e60a15f71b0ecfafc13-p_e.jpg,Multi-family home for sale,Listing by: ERA Meloi Realty Inc,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/13-Ulster-Pl-Port-Jervis-NY-12771/2138683481_zpid/,https://www.zillow.com/homes/NY_rb/13_p/
170,241613119,"1713 SW Westview Dr, Ankeny, IA 50023",41.71376,-93.6127,360000,USD,3,4,1750.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/cadd5b1bb70db74267abeae392767da2-p_e.jpg,New construction,RE/MAX Concepts,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/1713-SW-Westview-Dr-Ankeny-IA-50023/241613119_zpid/,https://www.zillow.com/homes/IA_rb/5_p/
557,32678314,"152 Maple Ave, Riverhead, NY 11901",40.919381,-72.659081,299999,USD,2,4,,,325000,6187,0,,FALSE,https://photos.zillowstatic.com/fp/8800e8c6c7880761dd650990a56aa1fb-p_e.jpg,House for sale,Listing by: Keller Williams Realty Greater,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/152-Maple-Ave-Riverhead-NY-11901/32678314_zpid/,https://www.zillow.com/homes/NY_rb/14_p/
294,59479813,"23 Sycamore Cir, Stony Brook, NY 11790",40.893009,-73.108152,459000,USD,3,5,,,547700,4300,0,,FALSE,https://photos.zillowstatic.com/fp/d30465368e1667e439bd20ac1b10f133-p_e.jpg,House for sale,Listing by: Realty Connect USA L I Inc,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/23-Sycamore-Cir-Stony-Brook-NY-11790/59479813_zpid/,https://www.zillow.com/homes/NY_rb/8_p/
516,31366057,"260 Locust Ave, Freeport, NY 11520",40.64758,-73.595769,569990,USD,3,2,,,515700,3764,0,,FALSE,https://photos.zillowstatic.com/fp/2ba0d15b77d6ed0792ef9b43a84b25a7-p_e.jpg,House for sale,Listing by: JB & Assoc Real Estate Inc,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/260-Locust-Ave-Freeport-NY-11520/31366057_zpid/,https://www.zillow.com/homes/NY_rb/13_p/
470,182581251,"211 Allegro Ct, Montgomery, TX 77316",30.267861,-95.546561,449500,USD,4,4,2616.0 sqft,,389400,2304,0,,FALSE,https://photos.zillowstatic.com/fp/94e673f26d4f280030bf2830be1cc44d-p_e.jpg,House for sale,Coldwell Banker Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/211-Allegro-Ct-Montgomery-TX-77316/182581251_zpid/,https://www.zillow.com/homes/TX_rb/12_p/
677,30351178,"6995 E Eden Rd, Hamburg, NY 14075",42.696952,-78.833393,279900,USD,3,3,2113.0 sqft,,385300,2395,0,,FALSE,https://photos.zillowstatic.com/fp/718f7bb7818749267a9cd9a25ff17200-p_e.jpg,House for sale,Listing by: Hunt Real Estate ERA,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/6995-E-Eden-Rd-Hamburg-NY-14075/30351178_zpid/,https://www.zillow.com/homes/NY_rb/17_p/
592,2067963199,"532 Lorimer St #3B, Brooklyn, NY 11211",40.712923,-73.948897,1540000,USD,2,2,1123.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/77c138ca373a60eb2a049747f223b7ac-p_e.jpg,Condo for sale,Listing by: Douglas Elliman,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/532-Lorimer-St-3B-Brooklyn-NY-11211/2067963199_zpid/,https://www.zillow.com/homes/NY_rb/15_p/
729,26252122,"134 Brees Blvd, San Antonio, TX 78209",29.491788,-98.452321,499000,USD,2,3,1721.0 sqft,,436000,2499,0,,FALSE,https://photos.zillowstatic.com/fp/256722d6b5633ae175f39b2c653cbca3-p_e.jpg,House for sale,Kuper Sotheby's Int'l Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/134-Brees-Blvd-San-Antonio-TX-78209/26252122_zpid/,https://www.zillow.com/homes/TX_rb/19_p/
27,76754275,"206 S Eliza St, Maquoketa, IA 52060",42.067122,-90.663314,69000,USD,2,3,2085.0 sqft,,52500,999,0,,FALSE,https://photos.zillowstatic.com/fp/3660b37eb6ff3044ab0f29cc2c81eff5-p_e.jpg,House for sale,"eXp Realty, LLC",https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/206-S-Eliza-St-Maquoketa-IA-52060/76754275_zpid/,https://www.zillow.com/homes/IA_rb/
87,2067954500,"LOT 33 Deer Oaks Dr, Pipe Creek, TX 78063",29.622916,-98.948491,325000,USD,2,3,1342.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/18411d02b982368e9fe1a828063979df-p_e.jpg,New construction,"Texas Strong Realty, Inc.",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/LOT-33-Deer-Oaks-Dr-Pipe-Creek-TX-78063/2067954500_zpid/,https://www.zillow.com/homes/TX_rb/3_p/
483,30298805,"89 Cass Ave, Cheektowaga, NY 14206",42.878878,-78.781148,189000,USD,2,3,1487.0 sqft,,183000,1599,0,,FALSE,https://photos.zillowstatic.com/fp/93a0cadcbb6f0eb8a57c72da48f77891-p_e.jpg,House for sale,Listing by: Prestige Family Realty,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/89-Cass-Ave-Cheektowaga-NY-14206/30298805_zpid/,https://www.zillow.com/homes/NY_rb/13_p/
779,2111762530,"1 E Broadway APT 6R, Long Beach, NY 11561",40.585006,-73.66344,235000,USD,1,0,,,534500,1672,0,,FALSE,https://photos.zillowstatic.com/fp/8f18275980d8002577136b48cb516659-p_e.jpg,Condo for sale,Listing by: Coldwell Banker American Homes,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/1-E-Broadway-APT-6R-Long-Beach-NY-11561/2111762530_zpid/,https://www.zillow.com/homes/NY_rb/20_p/
350,2067958573,"252 South St #48D, New York, NY 10002",40.710201,-73.989303,2500000,USD,2,2,1164.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/2cc860af36632dae2183eee547f8cbcb-p_e.jpg,Condo for sale,Listing by: Extell Marketing Group LLC,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/252-South-St-48D-New-York-NY-10002/2067958573_zpid/,https://www.zillow.com/homes/NY_rb/9_p/
412,59599248,"22 Fuller St, Dix Hills, NY 11746",40.800206,-73.301568,599000,USD,3,4,2000.0 sqft,,555200,3705,0,,FALSE,https://photos.zillowstatic.com/fp/5dc2c1b3f24c054f4941f880b7cb4d74-p_e.jpg,House for sale,Listing by: Branch Real Estate Group LLC,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/22-Fuller-St-Dix-Hills-NY-11746/59599248_zpid/,https://www.zillow.com/homes/NY_rb/11_p/
